date,open,high,low,close,volume
2011-12-31 08:00:00,4.39,4.39,4.39,4.39,0.45558087
2011-12-31 16:00:00,4.489999999999999,4.513333333333333,4.489999999999999,4.513333333333333,31.620765743333333
2012-01-01 04:00:00,4.58,4.58,4.58,4.58,1.502
2012-01-01 16:00:00,4.84,4.84,4.84,4.84,10.0
2012-01-01 20:00:00,5.0,5.0,5.0,5.0,10.1
2012-01-02 20:00:00,5.0,5.0,5.0,5.0,19.048
2012-01-03 12:00:00,5.239999999999999,5.239999999999999,5.239999999999999,5.239999999999999,10.806188186666667
2012-01-03 16:00:00,5.26,5.26,5.26,5.26,11.123743272
2012-01-04 04:00:00,4.93,4.93,4.93,4.93,6.0
2012-01-04 12:00:00,5.19,5.19,5.19,5.19,5.683044315
2012-01-04 16:00:00,5.312,5.354000000000001,5.312,5.354000000000001,16.77343432
2012-01-05 00:00:00,5.72,5.72,5.72,5.72,5.0
2012-01-05 04:00:00,5.75,5.75,5.75,5.75,5.2
2012-01-05 08:00:00,6.072857142857144,6.087142857142857,6.072857142857144,6.087142857142857,8.253862788571428
2012-01-05 12:00:00,6.44,6.44,6.44,6.44,0.391950475
2012-01-05 20:00:00,6.43,6.43,6.43,6.43,0.31152648
2012-01-06 00:00:00,6.572,6.572,6.572,6.572,4.832312082
2012-01-06 04:00:00,6.67,6.69,6.67,6.69,3.86774883
2012-01-06 12:00:00,6.8,6.9,6.8,6.9,9.31055901
2012-01-06 16:00:00,6.478571428571429,6.478571428571429,6.478571428571429,6.478571428571429,2.048098577142857
2012-01-06 20:00:00,6.15,6.15,6.15,6.15,0.625
2012-01-07 16:00:00,6.8,6.8,6.8,6.8,0.29585799
2012-01-08 12:00:00,6.9,6.9,6.9,6.9,4.0
2012-01-09 00:00:00,7.0,7.0,7.0,7.0,1.0
2012-01-09 04:00:00,6.99,6.99,6.9,6.9,5.0
2012-01-09 12:00:00,6.636111111111111,6.636111111111111,6.636111111111111,6.636111111111111,2.293454807222222
2012-01-09 16:00:00,6.550714285714285,6.550714285714285,6.550714285714285,6.550714285714285,1.2562240264285713
2012-01-09 20:00:00,6.293333333333333,6.293333333333333,6.293333333333333,6.293333333333333,1.0
2012-01-10 08:00:00,6.266666666666667,6.266666666666667,6.266666666666667,6.266666666666667,1.7083333333333333
2012-01-10 12:00:00,6.540909090909091,6.540909090909091,6.540909090909091,6.540909090909091,1.2852532690909089
2012-01-10 16:00:00,6.783333333333334,6.783333333333334,6.783333333333334,6.783333333333334,2.77534625
2012-01-10 20:00:00,7.14,7.14,7.14,7.14,4.59803922
2012-01-11 08:00:00,7.033333333333333,7.033333333333333,7.033333333333333,7.033333333333333,1.8589324616666667
2012-01-11 12:00:00,7.201538461538462,7.2057692307692305,7.201538461538462,7.2057692307692305,1.8959178461538462
2012-01-11 16:00:00,6.95,6.95,6.95,6.95,2.987142855
2012-01-11 20:00:00,7.0,7.0,7.0,7.0,8.315
2012-01-12 04:00:00,6.95,6.95,6.95,6.95,8.8
2012-01-12 08:00:00,7.3,7.3,7.3,7.3,9.54109589
2012-01-12 12:00:00,7.223333333333334,7.223333333333334,7.223333333333334,7.223333333333334,9.982923786666666
2012-01-12 16:00:00,6.79,6.79,6.79,6.79,1.0157483
2012-01-13 00:00:00,6.8,6.8,6.8,6.8,1.0
2012-01-13 04:00:00,6.7,6.7,6.7,6.7,1.0
2012-01-13 12:00:00,6.987692307692308,7.014615384615384,6.918461538461538,6.956153846153847,1.6160128115384613
2012-01-13 16:00:00,6.87,6.8875,6.87,6.8875,1.327331745
2012-01-13 20:00:00,7.1375,7.1375,7.1375,7.1375,1.79291554125
2012-01-14 00:00:00,6.514285714285714,6.514285714285714,6.5,6.5,1.9428571428571428
2012-01-14 20:00:00,6.3,6.3,6.3,6.3,1.059
2012-01-15 08:00:00,7.15,7.15,7.15,7.15,3.33986014
2012-01-16 16:00:00,6.714285714285714,6.714285714285714,6.714285714285714,6.714285714285714,1.8070422528571428
2012-01-17 12:00:00,6.633333333333333,6.633333333333333,6.633333333333333,6.633333333333333,1.3333333333333333
2012-01-17 16:00:00,6.9,6.9,6.9,6.9,7.24637681
2012-01-17 20:00:00,6.0473684210526315,6.0473684210526315,6.031578947368421,6.031578947368421,2.5789473684210527
2012-01-18 00:00:00,5.9935294117647056,6.01,5.9935294117647056,6.01,6.09593212
2012-01-18 04:00:00,6.06,6.06,6.02,6.02,1.2886435299999999
2012-01-18 08:00:00,6.5,6.5,6.5,6.5,2.0055096173333333
2012-01-18 12:00:00,6.366666666666667,6.366666666666667,6.366666666666667,6.366666666666667,5.807874396666667
2012-01-19 04:00:00,5.52,5.52,5.52,5.52,2.0
2012-01-19 08:00:00,6.460000000000001,6.460000000000001,6.460000000000001,6.460000000000001,20.564474466666667
2012-01-19 12:00:00,6.09,6.09,6.09,6.09,29.76844088
2012-01-19 16:00:00,6.264,6.264,6.264,6.264,13.000824038
2012-01-19 20:00:00,6.07,6.07,6.07,6.07,11.504817
2012-01-20 00:00:00,6.260000000000001,6.260000000000001,6.260000000000001,6.260000000000001,25.581672493333333
2012-01-20 08:00:00,6.9,6.9,6.9,6.9,1.0388866
2012-01-20 12:00:00,6.792857142857143,6.792857142857143,6.792857142857143,6.792857142857143,13.281506625714286
2012-01-20 16:00:00,6.95,6.95,6.95,6.95,0.908282825
2012-01-21 20:00:00,6.386,6.386,6.386,6.386,16.282770482
2012-01-22 08:00:00,6.62,6.62,6.62,6.62,9.20360273
2012-01-22 12:00:00,6.28,6.28,6.28,6.28,0.16
2012-01-22 16:00:00,6.316666666666666,6.316666666666666,6.316666666666666,6.316666666666666,17.616741613333335
2012-01-22 20:00:00,6.79,6.79,6.79,6.79,0.65
