date,open,high,low,close,volume,log_open,log_high,log_low,log_close
2015-10-08 16:00:00,244.92,244.99,244.0,244.0,3.259453058,5.500931626609754,5.501217393385187,5.497168225293202,5.497168225293202
2015-10-08 20:00:00,244.0,244.0,243.6,243.95,2.65991530775,5.497168225293202,5.497168225293202,5.495527535835742,5.496963286261846
2015-10-09 00:00:00,243.95,243.95,243.6,243.6,0.75,5.496963286261846,5.496963286261846,5.495527535835742,5.495527535835742
2015-10-09 04:00:00,243.6,243.6,243.6,243.6,0.0,5.495527535835742,5.495527535835742,5.495527535835742,5.495527535835742
2015-10-09 08:00:00,243.6,243.75,243.6,243.63,0.25,5.495527535835742,5.4961431098779565,5.495527535835742,5.495650680962429
2015-10-09 12:00:00,243.63,244.0,243.63,244.0,2.0362707005000003,5.495650680962429,5.497168225293202,5.495650680962429,5.497168225293202
2015-10-09 16:00:00,244.0,244.06,243.7,244.06,0.9156563050000001,5.497168225293202,5.497414096703693,5.495937960631161,5.497414096703693
2015-10-09 20:00:00,244.06,249.97,244.06,245.39,10.05503318625,5.497414096703693,5.52134091066167,5.497414096703693,5.502848781650265
2015-10-10 00:00:00,245.39,245.54,245.39,245.51,2.1398066929999997,5.502848781650265,5.503459866752694,5.502848781650265,5.5033376796025575
2015-10-10 04:00:00,245.51,245.51,244.6,245.45,3.9936189775,5.5033376796025575,5.5033376796025575,5.499624223253072,5.503093260504062
2015-10-10 08:00:00,245.45,245.45,244.6,244.6,0.6725,5.503093260504062,5.503093260504062,5.499624223253072,5.499624223253072
2015-10-10 12:00:00,244.6,245.4,244.6,245.37,1.807475001,5.499624223253072,5.502889532276811,5.499624223253072,5.5027672754149926
2015-10-10 16:00:00,245.37,245.37,245.37,245.37,0.10316299,5.5027672754149926,5.5027672754149926,5.5027672754149926,5.5027672754149926
2015-10-10 20:00:00,245.37,246.3,245.37,246.3,1.1206306625,5.5027672754149926,5.506550305126492,5.5027672754149926,5.506550305126492
2015-10-11 00:00:00,246.3,246.3,246.3,246.3,0.020249695,5.506550305126492,5.506550305126492,5.506550305126492,5.506550305126492
2015-10-11 04:00:00,246.3,246.3,246.3,246.3,0.0,5.506550305126492,5.506550305126492,5.506550305126492,5.506550305126492
2015-10-11 08:00:00,246.3,246.3,246.3,246.3,0.0,5.506550305126492,5.506550305126492,5.506550305126492,5.506550305126492
